ebird_code,scientific_name,common_name,alpha
huatin1,Rhynchotus maculicollis,Huayco Tinamou,
tactin1,Nothoprocta taczanowskii,Taczanowski's Tinamou,
orntin1,Nothoprocta ornata,Ornate Tinamou,
chitin1,Nothoprocta perdicaria,Chilean Tinamou,
brutin1,Nothoprocta cinerascens,Brushland Tinamou,
andtin1,Nothoprocta pentlandii,Andean Tinamou,
cubtin1,Nothoprocta curvirostris,Curve-billed Tinamou,
whbnot1,Nothura boraquira,White-bellied Nothura,
lesnot1,Nothura minor,Lesser Nothura,
darnot1,Nothura darwinii,Darwin's Nothura,
sponot1,Nothura maculosa,Spotted Nothura,
dwatin1,Taoniscus nanus,Dwarf Tinamou,
elctin1,Eudromia elegans,Elegant Crested Tinamou,
quctin1,Eudromia formosa,Quebracho Crested Tinamou,
puntin1,Tinamotis pentlandii,Puna Tinamou,
pattin1,Tinamotis ingoufi,Patagonian Tinamou,
horscr1,Anhima cornuta,Horned Screamer,
norscr1,Chauna chavaria,Northern Screamer,
souscr1,Chauna torquata,Southern Screamer,
maggoo1,Anseranas semipalmata,Magpie Goose,
wfwduc1,Dendrocygna viduata,White-faced Whistling Duck,WFWD
bbwduc,Dendrocygna autumnalis,Black-bellied Whistling Duck,BBWD
spwduc1,Dendrocygna guttata,Spotted Whistling Duck,
wiwduc1,Dendrocygna arborea,West Indian Whistling Duck,WIWD
fuwduc,Dendrocygna bicolor,Fulvous Whistling Duck,FUWD
plwduc1,Dendrocygna eytoni,Plumed Whistling Duck,
wawduc1,Dendrocygna arcuata,Wandering Whistling Duck,
lewduc1,Dendrocygna javanica,Lesser Whistling Duck,
whbduc1,Thalassornis leuconotus,White-backed Duck,
cabgoo1,Cereopsis novaehollandiae,Cape Barren Goose,
brant,Branta bernicla,Brant Goose,BRAN
rebgoo1,Branta ruficollis,Red-breasted Goose,
hawgoo,Branta sandvicensis,Nene,HAGO
cangoo,Branta canadensis,Canada Goose,CANG
bargoo,Branta leucopsis,Barnacle Goose,BARG
cacgoo1,Branta hutchinsii,Cackling Goose,CACG
bahgoo,Anser indicus,Bar-headed Goose,
empgoo,Anser canagicus,Emperor Goose,EMGO
rosgoo,Anser rossii,Ross's Goose,ROGO
snogoo,Anser caerulescens,Snow Goose,SNGO
gragoo,Anser anser,Greylag Goose,GRGO
swagoo1,Anser cygnoides,Swan Goose,
taibeg1,Anser fabalis,Taiga Bean Goose,TABG
pifgoo,Anser brachyrhynchus,Pink-footed Goose,PFGO
tunbeg1,Anser serrirostris,Tundra Bean Goose,TUBG
gwfgoo,Anser albifrons,Greater White-fronted Goose,GWFG
lwfgoo,Anser erythropus,Lesser White-fronted Goose,LWFG
cosswa1,Coscoroba coscoroba,Coscoroba Swan,
blkswa,Cygnus atratus,Black Swan,
blnswa2,Cygnus melancoryphus,Black-necked Swan,
mutswa,Cygnus olor,Mute Swan,MUSW
truswa,Cygnus buccinator,Trumpeter Swan,TRUS
tunswa,Cygnus columbianus,Tundra Swan,TUSW
whoswa,Cygnus cygnus,Whooper Swan,WHOS
freduc1,Stictonetta naevosa,Freckled Duck,
flystd1,Tachyeres patachonicus,Flying Steamer Duck,
flistd1,Tachyeres pteneres,Fuegian Steamer Duck,
falstd1,Tachyeres brachypterus,Falkland Steamer Duck,
whhstd1,Tachyeres leucocephalus,Chubut Steamer Duck,
torduc1,Merganetta armata,Torrent Duck,
spwgoo1,Plectropterus gambensis,Spur-winged Goose,
comduc3,Sarkidiornis sylvicola,Comb Duck,CODU
comduc2,Sarkidiornis melanotos,Knob-billed Duck,
