ebird_code,scientific_name,common_name,alpha
afmdov1,Streptopelia decipiens,Mourning Collared Dove,
afmhar1,Circus ranivorus,African Marsh Harrier,
afmwea,Ploceus velatus,Southern Masked Weaver,
afpfly1,Terpsiphone viridis,African Paradise Flycatcher,
afphor1,Lophoceros fasciatus,Congo Pied Hornbill,
afpkin1,Ispidina picta,African Pygmy Kingfisher,
afpsta1,Lamprotornis bicolor,Pied Starling,
afpswi1,Cypsiurus parvus,African Palm Swift,
afptit1,Anthoscopus caroli,Grey Penduline Tit,
afpwag1,Motacilla aguimp,African Pied Wagtail,
afrbro1,Smithornis capensis,African Broadbill,
afrcit1,Crithagra citrinelloides,African Citril,
afrcra1,Crex egregia,,
afrcuc1,Cuculus gularis,African Cuckoo,
afrcuh1,Aviceda cuculoides,African Cuckoo-Hawk,
afrfin1,Podica senegalensis,African Finfoot,
afrgos1,Accipiter tachiro,,
afrgrp1,Treron calvus,African Green Pigeon,
afrhae1,Aquila spilogaster,African Hawk-Eagle,
afrhob1,Falco cuvierii,African Hobby,
afrjac1,Actophilornis africanus,African Jacana,
afrmar2,Pseudochelidon eurystomina,African River Martin,
afrope1,Anastomus lamelligerus,African Openbill,
afroys1,Haematopus moquini,African Oystercatcher,
afrpic1,Verreauxia africana,African Piculet,
afrpip1,Anthus cinnamomeus,African Pipit,
afrpit1,Pitta angolensis,African Pitta,
afrpyg1,Nettapus auritus,African Pygmy Goose,
afrrai1,Rallus caerulescens,African Rail,
afrsco2,Otus socotranus,Socotra Scops Owl,
afrshf1,Megabyas flammulatus,African Shrike-flycatcher,
afrsil1,Euodice cantans,African Silverbill,AFSI
afrski1,Rynchops flavirostris,African Skimmer,
afrsni1,Gallinago nigripennis,African Snipe,
afrspo1,Platalea alba,African Spoonbill,
afrsto1,Saxicola torquatus,African Stonechat,
afrswi1,Apus barbatus,African Black Swift,
afrswi2,,,
afrtai2,Artisornis metopias,Red-capped Forest Warbler,
afrthr1,Turdus pelios,African Thrush,
afrwar1,Acrocephalus baeticatus,,
afsowl1,Otus senegalensis,African Scops Owl,
afswar1,Bradypterus barratti,Barratt's Warbler,
afwowl1,Strix woodfordii,African Wood Owl,
afywar1,Iduna natalensis,African Yellow Warbler,
afywhe1,Zosterops stenocricotus,Forest White-eye,
afywhe2,Zosterops senegalensis,Northern Yellow White-eye,
afywhe3,Zosterops stuhlmanni,Green White-eye,
afywhe4,Zosterops anderssoni,Southern Yellow White-eye,
agaher1,Agamia agami,Agami Heron,
agitit1,Uromyias agilis,Agile Tit-Tyrant,
agular1,Certhilauda brevirostris,,
agurew1,Acrocephalus nijoi,Aguiguan Reed Warbler,
agwtea1,,,
ahafra2,Pternistis ahantensis,Ahanta Spurfowl,
ajpant1,Herpsilochmus stotzi,Aripuana Antwren,
akekee,Loxops caeruleirostris,Akekee,AKEK
akeowl1,Bubo leucostictus,,
akepa1,Loxops coccineus,Hawaii Akepa,AKEP
akepa2,Loxops wolstenholmei,Oahu Akepa,
akepa3,Loxops ochraceus,Maui Akepa,
akiapo,Hemignathus wilsoni,Akiapolaau,AKIP
akikik,Oreomystis bairdi,Akikiki,AKIK
alaant1,Myrmotherula snowi,Alagoas Antwren,
alacur1,Mitu mitu,Alagoas Curassow,
alagre1,Tachybaptus rufolavatus,Alaotra Grebe,
alatyr1,Phylloscartes ceciliae,Alagoas Tyrannulet,
alblyr1,Menura alberti,Albert's Lyrebird,
albowl1,Glaucidium albertinum,Albertine Owlet,
albwar1,Nesillas aldabrana,Aldabra Brush Warbler,
alddro1,Dicrurus aldabranus,Aldabra Drongo,
aldfly,Empidonax alnorum,Alder Flycatcher,ALFL
aldwhe1,Zosterops aldabrensis,,
aleowl1,Asio abyssinicus,Abyssinian Owl,
alepar1,Polytelis alexandrae,Princess Parrot,
alepar2,Psittacula eupatria,Alexandrine Parakeet,
aleswi1,Apus alexandri,Cape Verde Swift,
aleter1,Onychoprion aleuticus,Aleutian Tern,ALTE
alfant1,Hylopezus whittakeri,Alta Floresta Antpitta,
alfgle1,Philydor novaesi,Alagoas Foliage-gleaner,
algnut1,Sitta ledanti,Algerian Nuthatch,
allant1,Percnostola arenarum,Allpahuayo Antbird,
allgal1,Porphyrio alleni,Allen's Gallinule,
allhum,Selasphorus sasin,Allen's Hummingbird,ALHU
alomyz1,Myzomela prawiradilagae,Alor Myzomela,
alpacc1,Prunella collaris,Alpine Accentor,
alplew1,Phylloscopus occisinensis,,
alpmun1,Lonchura monticola,Eastern Alpine Mannikin,
