composite,scientific_name,ebird_code,common_name,alpha
Calidris virgata_Surfbird,Calidris virgata,surfbi,Surfbird,SURF
Caligavis chrysops_Yellow-faced Honeyeater,Caligavis chrysops,yefhon1,Yellow-faced Honeyeater,
Caligavis subfrenata_Black-throated Honeyeater,Caligavis subfrenata,blthon1,Black-throated Honeyeater,
Callacanthis burtoni_Spectacled Finch,Callacanthis burtoni,spefin1,Spectacled Finch,
Callaeas wilsoni_North Island Kokako,Callaeas wilsoni,kokako3,North Island Kokako,
Calliope calliope_Siberian Rubythroat,Calliope calliope,sibrub,Siberian Rubythroat,SIRU
Calliope pectardens_Firethroat,Calliope pectardens,fireth1,Firethroat,
Calliope pectoralis_Himalayan Rubythroat,Calliope pectoralis,himrub1,Himalayan Rubythroat,
Calliope tschebaiewi_Chinese Rubythroat,Calliope tschebaiewi,chirub1,Chinese Rubythroat,
Callipepla californica_California Quail,Callipepla californica,calqua,California Quail,CAQU
Callipepla douglasii_Elegant Quail,Callipepla douglasii,elequa,Elegant Quail,ELQU
Callipepla gambelii_Gambel's Quail,Callipepla gambelii,gamqua,Gambel's Quail,GAQU
Callipepla squamata_Scaled Quail,Callipepla squamata,scaqua,Scaled Quail,SCQU
Callocephalon fimbriatum_Gang-gang Cockatoo,Callocephalon fimbriatum,gagcoc1,Gang-gang Cockatoo,
Calocitta colliei_Black-throated Magpie-Jay,Calocitta colliei,,,
Calocitta formosa_White-throated Magpie-Jay,Calocitta formosa,,,
Calonectris diomedea_Cory's Shearwater,Calonectris diomedea,scoshe1,Scopoli's Shearwater,SCSH
Caloramphus fuliginosus_Brown Barbet,Caloramphus fuliginosus,brnbar2,Brown Barbet,
Calothorax lucifer_Lucifer Hummingbird,Calothorax lucifer,luchum,Lucifer Sheartail,LUHU
Calypte anna_Anna's Hummingbird,Calypte anna,annhum,Anna's Hummingbird,ANHU
Calypte costae_Costa's Hummingbird,Calypte costae,coshum,Costa's Hummingbird,COHU
Calyptomena viridis_Green Broadbill,Calyptomena viridis,grebro1,Green Broadbill,
Calyptomena whiteheadi_Whitehead's Broadbill,Calyptomena whiteheadi,whibro1,Whitehead's Broadbill,
Calyptophilus frugivorus_Eastern Chat-Tanager,Calyptophilus frugivorus,eactan1,Eastern Chat-Tanager,EACT
Calyptophilus tertius_Western Chat-Tanager,Calyptophilus tertius,wectan1,Western Chat-Tanager,WECT
Calyptorhynchus banksii_Red-tailed Black-Cockatoo,Calyptorhynchus banksii,rtbcoc1,Red-tailed Black Cockatoo,
Calyptorhynchus funereus_Yellow-tailed Black-Cockatoo,Calyptorhynchus funereus,,,
Calyptorhynchus lathami_Glossy Black-Cockatoo,Calyptorhynchus lathami,glbcoc1,Glossy Black Cockatoo,
Calyptorhynchus latirostris_Carnaby's Black-Cockatoo,Calyptorhynchus latirostris,,,
Camaroptera brachyura_Green-backed Camaroptera,Camaroptera brachyura,grbcam1,Bleating Camaroptera,
Camaroptera chloronota_Olive-green Camaroptera,Camaroptera chloronota,olgcam1,Olive-green Camaroptera,
Camaroptera superciliaris_Yellow-browed Camaroptera,Camaroptera superciliaris,yebcam1,Yellow-browed Camaroptera,
Campephaga flava_Black Cuckooshrike,Campephaga flava,blkcus1,Black Cuckooshrike,
Campephaga quiscalina_Purple-throated Cuckooshrike,Campephaga quiscalina,putcus1,Purple-throated Cuckooshrike,
Campephilus gayaquilensis_Guayaquil Woodpecker,Campephilus gayaquilensis,guawoo2,Guayaquil Woodpecker,
Campephilus guatemalensis_Pale-billed Woodpecker,Campephilus guatemalensis,pabwoo1,Pale-billed Woodpecker,PBIW
Campephilus haematogaster_Crimson-bellied Woodpecker,Campephilus haematogaster,crbwoo1,Crimson-bellied Woodpecker,CBWO
Campephilus leucopogon_Cream-backed Woodpecker,Campephilus leucopogon,crbwoo2,Cream-backed Woodpecker,
Campephilus magellanicus_Magellanic Woodpecker,Campephilus magellanicus,magwoo1,Magellanic Woodpecker,
Campephilus melanoleucos_Crimson-crested Woodpecker,Campephilus melanoleucos,crcwoo1,Crimson-crested Woodpecker,CCRW
Campephilus pollens_Powerful Woodpecker,Campephilus pollens,powwoo1,Powerful Woodpecker,
Campephilus robustus_Robust Woodpecker,Campephilus robustus,robwoo1,Robust Woodpecker,
Campephilus rubricollis_Red-necked Woodpecker,Campephilus rubricollis,renwoo1,Red-necked Woodpecker,
Campethera abingoni_Golden-tailed Woodpecker,Campethera abingoni,gotwoo1,Golden-tailed Woodpecker,
Campethera cailliautii_Green-backed Woodpecker,Campethera cailliautii,,,
Campethera mombassica_Mombasa Woodpecker,Campethera mombassica,momwoo1,Mombasa Woodpecker,
Campethera nubica_Nubian Woodpecker,Campethera nubica,nubwoo1,Nubian Woodpecker,
Camptostoma imberbe_Northern Beardless-Tyrannulet,Camptostoma imberbe,nobtyr,Northern Beardless Tyrannulet,NOBT
Camptostoma obsoletum_Southern Beardless-Tyrannulet,Camptostoma obsoletum,sobtyr1,Southern Beardless Tyrannulet,SOBT
Campylopterus falcatus_Lazuline Sabrewing,Campylopterus falcatus,lazsab1,Lazuline Sabrewing,
Campylopterus hemileucurus_Violet Sabrewing,Campylopterus hemileucurus,viosab1,Violet Sabrewing,VISA
Campylopterus largipennis_Gray-breasted Sabrewing,Campylopterus largipennis,gybsab1,Grey-breasted Sabrewing,
Campylorhamphus falcularius_Black-billed Scythebill,Campylorhamphus falcularius,blbscy1,Black-billed Scythebill,
Campylorhamphus procurvoides_Curve-billed Scythebill,Campylorhamphus procurvoides,cubscy1,Curve-billed Scythebill,
Campylorhamphus pusillus_Brown-billed Scythebill,Campylorhamphus pusillus,brbscy1,Brown-billed Scythebill,BBSC
Campylorhamphus trochilirostris_Red-billed Scythebill,Campylorhamphus trochilirostris,rebscy1,Red-billed Scythebill,RBSC
Campylorhynchus albobrunneus_White-headed Wren,Campylorhynchus albobrunneus,whhwre1,White-headed Wren,WHWR
Campylorhynchus brunneicapillus_Cactus Wren,Campylorhynchus brunneicapillus,cacwre,Cactus Wren,CACW
Campylorhynchus chiapensis_Giant Wren,Campylorhynchus chiapensis,giawre1,Giant Wren,GIWR
Campylorhynchus fasciatus_Fasciated Wren,Campylorhynchus fasciatus,faswre1,Fasciated Wren,
Campylorhynchus griseus_Bicolored Wren,Campylorhynchus griseus,bicwre1,Bicolored Wren,BIWR
Campylorhynchus gularis_Spotted Wren,Campylorhynchus gularis,spowre1,Spotted Wren,SPWR
Campylorhynchus jocosus_Boucard's Wren,Campylorhynchus jocosus,bouwre1,Boucard's Wren,BOWR
Campylorhynchus megalopterus_Gray-barred Wren,Campylorhynchus megalopterus,grbwre1,Grey-barred Wren,GBWR
Campylorhynchus nuchalis_Stripe-backed Wren,Campylorhynchus nuchalis,stbwre2,Stripe-backed Wren,
Campylorhynchus rufinucha_Rufous-naped Wren,Campylorhynchus rufinucha,runwre2,Veracruz Wren,VEWR
Campylorhynchus turdinus_Thrush-like Wren,Campylorhynchus turdinus,thlwre1,Thrush-like Wren,
Campylorhynchus yucatanicus_Yucatan Wren,Campylorhynchus yucatanicus,yucwre1,Yucatan Wren,YUWR
Campylorhynchus zonatus_Band-backed Wren,Campylorhynchus zonatus,babwre1,Band-backed Wren,BABW
Canachites canadensis_Spruce Grouse,Canachites canadensis,sprgro,Spruce Grouse,SPGR
Canis latrans_Coyote,Canis latrans,,,
Canis lupus_Gray Wolf,Canis lupus,,,
Cantorchilus elutus_Isthmian Wren,Cantorchilus elutus,istwre1,Isthmian Wren,ISWR
Cantorchilus guarayanus_Fawn-breasted Wren,Cantorchilus guarayanus,fabwre1,Fawn-breasted Wren,
Cantorchilus leucopogon_Stripe-throated Wren,Cantorchilus leucopogon,sttwre1,Stripe-throated Wren,STWR
Cantorchilus leucotis_Buff-breasted Wren,Cantorchilus leucotis,bubwre1,Buff-breasted Wren,BBRW
Cantorchilus longirostris_Long-billed Wren,Cantorchilus longirostris,lobwre1,Long-billed Wren,
Cantorchilus modestus_Cabanis's Wren,Cantorchilus modestus,plawre1,Cabanis's Wren,CABW
Cantorchilus nigricapillus_Bay Wren,Cantorchilus nigricapillus,baywre1,Bay Wren,BAYW
Cantorchilus semibadius_Riverside Wren,Cantorchilus semibadius,rivwre1,Riverside Wren,RIWR
Cantorchilus superciliaris_Superciliated Wren,Cantorchilus superciliaris,supwre1,Superciliated Wren,
Cantorchilus thoracicus_Stripe-breasted Wren,Cantorchilus thoracicus,stbwre1,Stripe-breasted Wren,SIBW
Cantorchilus zeledoni_Canebrake Wren,Cantorchilus zeledoni,plawre3,Canebrake Wren,CAKW
Capito auratus_Gilded Barbet,Capito auratus,gilbar1,Gilded Barbet,
Capito aurovirens_Scarlet-crowned Barbet,Capito aurovirens,sccbar1,Scarlet-crowned Barbet,
Capito dayi_Black-girdled Barbet,Capito dayi,blgbar1,Black-girdled Barbet,
Capito hypoleucus_White-mantled Barbet,Capito hypoleucus,whmbar1,White-mantled Barbet,
Capito niger_Black-spotted Barbet,Capito niger,blsbar1,Black-spotted Barbet,
Capito quinticolor_Five-colored Barbet,Capito quinticolor,ficbar1,Five-colored Barbet,
Capito squamatus_Orange-fronted Barbet,Capito squamatus,orfbar1,Orange-fronted Barbet,
Capito wallacei_Scarlet-banded Barbet,Capito wallacei,scbbar2,Scarlet-banded Barbet,
Caprimulgus affinis_Savanna Nightjar,Caprimulgus affinis,savnig1,Savanna Nightjar,
Caprimulgus asiaticus_Indian Nightjar,Caprimulgus asiaticus,indnig1,Indian Nightjar,
Caprimulgus atripennis_Jerdon's Nightjar,Caprimulgus atripennis,jernig1,Jerdon's Nightjar,
Caprimulgus clarus_Slender-tailed Nightjar,Caprimulgus clarus,sltnig1,Slender-tailed Nightjar,
Caprimulgus climacurus_Long-tailed Nightjar,Caprimulgus climacurus,lotnig1,Long-tailed Nightjar,
Caprimulgus europaeus_Eurasian Nightjar,Caprimulgus europaeus,eurnig1,European Nightjar,
Caprimulgus fossii_Square-tailed Nightjar,Caprimulgus fossii,sqtnig1,Square-tailed Nightjar,
Caprimulgus indicus_Jungle Nightjar,Caprimulgus indicus,grynig2,Jungle Nightjar,
Caprimulgus jotaka_Gray Nightjar,Caprimulgus jotaka,grynig1,Grey Nightjar,GRNI
Caprimulgus macrurus_Large-tailed Nightjar,Caprimulgus macrurus,latnig2,Large-tailed Nightjar,
Caprimulgus madagascariensis_Madagascar Nightjar,Caprimulgus madagascariensis,madnig1,Madagascar Nightjar,
Caprimulgus manillensis_Philippine Nightjar,Caprimulgus manillensis,phinig1,Philippine Nightjar,
Caprimulgus natalensis_Swamp Nightjar,Caprimulgus natalensis,swanig1,Swamp Nightjar,
Caprimulgus nigriscapularis_Black-shouldered Nightjar,Caprimulgus nigriscapularis,,,
Caprimulgus pectoralis_Fiery-necked Nightjar,Caprimulgus pectoralis,finnig1,Fiery-necked Nightjar,
Caprimulgus poliocephalus_Abyssinian Nightjar,Caprimulgus poliocephalus,monnig1,Montane Nightjar,
Caprimulgus ruficollis_Red-necked Nightjar,Caprimulgus ruficollis,rennig1,Red-necked Nightjar,
Caprimulgus rufigena_Rufous-cheeked Nightjar,Caprimulgus rufigena,rucnig1,Rufous-cheeked Nightjar,
Caprimulgus tristigma_Freckled Nightjar,Caprimulgus tristigma,frenig1,Freckled Nightjar,
Capsiempis flaveola_Yellow Tyrannulet,Capsiempis flaveola,yeltyr1,Yellow Tyrannulet,YETY
Caracara plancus_Crested Caracara,Caracara plancus,y00678,Crested Caracara,CRCA
Cardellina canadensis_Canada Warbler,Cardellina canadensis,canwar,Canada Warbler,CAWA
Cardellina pusilla_Wilson's Warbler,Cardellina pusilla,wlswar,Wilson's Warbler,WIWA
Cardellina rubra_Red Warbler,Cardellina rubra,redwar1,Red Warbler,REWA
Cardellina rubrifrons_Red-faced Warbler,Cardellina rubrifrons,refwar,Red-faced Warbler,RFWA
Cardellina versicolor_Pink-headed Warbler,Cardellina versicolor,pihwar1,Pink-headed Warbler,PHWA
Cardinalis cardinalis_Northern Cardinal,Cardinalis cardinalis,norcar,Northern Cardinal,NOCA
Cardinalis phoeniceus_Vermilion Cardinal,Cardinalis phoeniceus,vercar1,Vermilion Cardinal,
Cardinalis sinuatus_Pyrrhuloxia,Cardinalis sinuatus,pyrrhu,Pyrrhuloxia,PYRR
Carduelis carduelis_European Goldfinch,Carduelis carduelis,eurgol,European Goldfinch,EGOL
Carduelis citrinella_Citril Finch,Carduelis citrinella,citfin1,Citril Finch,
Carduelis corsicana_Corsican Finch,Carduelis corsicana,corfin1,Corsican Finch,
Cariama cristata_Red-legged Seriema,Cariama cristata,relser1,Red-legged Seriema,
Carpococcyx radiceus_Bornean Ground-Cuckoo,Carpococcyx radiceus,bogcuc1,Bornean Ground Cuckoo,
Carpococcyx renauldi_Coral-billed Ground-Cuckoo,Carpococcyx renauldi,cbgcuc1,Coral-billed Ground Cuckoo,
Carpodacus dubius_Chinese White-browed Rosefinch,Carpodacus dubius,cwbros1,Chinese White-browed Rosefinch,
Carpodacus erythrinus_Common Rosefinch,Carpodacus erythrinus,comros,Common Rosefinch,CORO
Carpodacus puniceus_Red-fronted Rosefinch,Carpodacus puniceus,refros1,Red-fronted Rosefinch,
Carpodacus rodochroa_Pink-browed Rosefinch,Carpodacus rodochroa,pibros2,Pink-browed Rosefinch,
Carpodacus rubicilla_Great Rosefinch,Carpodacus rubicilla,greros1,Great Rosefinch,
Carpodacus rubicilloides_Streaked Rosefinch,Carpodacus rubicilloides,strros1,Streaked Rosefinch,
Carpodacus sibiricus_Long-tailed Rosefinch,Carpodacus sibiricus,lotros1,Long-tailed Rosefinch,
Carpodacus synoicus_Sinai Rosefinch,Carpodacus synoicus,sinros1,Sinai Rosefinch,
Carpodacus thura_Himalayan White-browed Rosefinch,Carpodacus thura,whbros1,Himalayan White-browed Rosefinch,
Carpornis cucullata_Hooded Berryeater,Carpornis cucullata,hoober2,Hooded Berryeater,
Carpornis melanocephala_Black-headed Berryeater,Carpornis melanocephala,bkhber1,Black-headed Berryeater,
Carpospiza brachydactyla_Pale Rockfinch,Carpospiza brachydactyla,palroc1,Pale Rockfinch,
Carterornis chrysomela_Golden Monarch,Carterornis chrysomela,golmon1,Golden Monarch,
Carterornis leucotis_White-eared Monarch,Carterornis leucotis,whemon1,White-eared Monarch,
Carterornis pileatus_White-naped Monarch,Carterornis pileatus,whnmon1,White-naped Monarch,
Caryothraustes canadensis_Yellow-green Grosbeak,Caryothraustes canadensis,yeggro1,Yellow-green Grosbeak,YGGR
Caryothraustes poliogaster_Black-faced Grosbeak,Caryothraustes poliogaster,blfgro1,Black-faced Grosbeak,BFAG
Casiornis rufus_Rufous Casiornis,Casiornis rufus,rufcas2,Rufous Casiornis,
Cassiculus melanicterus_Yellow-winged Cacique,Cassiculus melanicterus,yewcac1,Mexican Cacique,YWCA
Casuarius casuarius_Southern Cassowary,Casuarius casuarius,soucas1,Southern Cassowary,
Catamblyrhynchus diadema_Plushcap,Catamblyrhynchus diadema,plushc1,Plushcap,
Catamenia analis_Band-tailed Seedeater,Catamenia analis,batsee1,Band-tailed Seedeater,
Catamenia homochroa_Paramo Seedeater,Catamenia homochroa,parsee1,Paramo Seedeater,
Catamenia inornata_Plain-colored Seedeater,Catamenia inornata,plcsee1,Plain-colored Seedeater,
Cathartes aura_Turkey Vulture,Cathartes aura,turvul,Turkey Vulture,TUVU
Catharus aurantiirostris_Orange-billed Nightingale-Thrush,Catharus aurantiirostris,obnthr1,Orange-billed Nightingale-Thrush,OBNT
Catharus bicknelli_Bicknell's Thrush,Catharus bicknelli,bicthr,Bicknell's Thrush,BITH
Catharus dryas_Yellow-throated Nightingale-Thrush,Catharus dryas,spnthr1,Yellow-throated Nightingale-Thrush,YTNT
Catharus frantzii_Ruddy-capped Nightingale-Thrush,Catharus frantzii,rcnthr1,Ruddy-capped Nightingale-Thrush,RCNT
Catharus fuscater_Slaty-backed Nightingale-Thrush,Catharus fuscater,sbnthr1,Slaty-backed Nightingale-Thrush,SBNT
Catharus fuscescens_Veery,Catharus fuscescens,veery,Veery,VEER
Catharus gracilirostris_Black-billed Nightingale-Thrush,Catharus gracilirostris,bbnthr1,Black-billed Nightingale-Thrush,BBNT
Catharus guttatus_Hermit Thrush,Catharus guttatus,herthr,Hermit Thrush,HETH
Catharus maculatus_Speckled Nightingale-Thrush,Catharus maculatus,sponit2,Speckled Nightingale-Thrush,
Catharus mexicanus_Black-headed Nightingale-Thrush,Catharus mexicanus,bhnthr1,Black-headed Nightingale-Thrush,BHNT
Catharus minimus_Gray-cheeked Thrush,Catharus minimus,gycthr,Grey-cheeked Thrush,GCTH
Catharus occidentalis_Russet Nightingale-Thrush,Catharus occidentalis,runthr1,Russet Nightingale-Thrush,RUNT
Catharus ustulatus_Swainson's Thrush,Catharus ustulatus,swathr,Swainson's Thrush,SWTH
Catherpes mexicanus_Canyon Wren,Catherpes mexicanus,canwre,Canyon Wren,CANW
Catreus wallichii_Cheer Pheasant,Catreus wallichii,chephe1,Cheer Pheasant,
Cecropis abyssinica_Lesser Striped Swallow,Cecropis abyssinica,lessts1,Lesser Striped Swallow,
Cecropis cucullata_Greater Striped Swallow,Cecropis cucullata,grests1,Greater Striped Swallow,
Cecropis daurica_Red-rumped Swallow,Cecropis daurica,y00621,Eastern Red-rumped Swallow,
Cecropis semirufa_Rufous-chested Swallow,Cecropis semirufa,rucswa2,Red-breasted Swallow,
Cecropis striolata_Striated Swallow,Cecropis striolata,,,
Celeus castaneus_Chestnut-colored Woodpecker,Celeus castaneus,chcwoo1,Chestnut-colored Woodpecker,CCOW
Celeus elegans_Chestnut Woodpecker,Celeus elegans,chewoo2,Chestnut Woodpecker,
Celeus flavescens_Blond-crested Woodpecker,Celeus flavescens,blcwoo4,Blond-crested Woodpecker,
Celeus flavus_Cream-colored Woodpecker,Celeus flavus,crcwoo2,Cream-colored Woodpecker,
Celeus galeatus_Helmeted Woodpecker,Celeus galeatus,helwoo1,Helmeted Woodpecker,
Celeus grammicus_Scale-breasted Woodpecker,Celeus grammicus,,,
Celeus loricatus_Cinnamon Woodpecker,Celeus loricatus,cinwoo1,Cinnamon Woodpecker,CIWO
Celeus lugubris_Pale-crested Woodpecker,Celeus lugubris,pacwoo1,Pale-crested Woodpecker,
Celeus obrieni_Kaempfer's Woodpecker,Celeus obrieni,caawoo1,Kaempfer's Woodpecker,
Celeus ochraceus_Ochre-backed Woodpecker,Celeus ochraceus,blcwoo5,Ochre-backed Woodpecker,
Celeus spectabilis_Rufous-headed Woodpecker,Celeus spectabilis,ruhwoo1,Rufous-headed Woodpecker,
Celeus torquatus_Ringed Woodpecker,Celeus torquatus,rinwoo1,Ringed Woodpecker,
Celeus undatus_Waved Woodpecker,Celeus undatus,wavwoo5,Variable Woodpecker,
Centrocercus urophasianus_Greater Sage-Grouse,Centrocercus urophasianus,saggro,Sage Grouse,GRSG
Centronyx bairdii_Baird's Sparrow,Centronyx bairdii,baispa,Baird's Sparrow,BAIS
Centronyx henslowii_Henslow's Sparrow,Centronyx henslowii,henspa,Henslow's Sparrow,HESP
Centropus andamanensis_Andaman Coucal,Centropus andamanensis,andcou1,Andaman Coucal,
Centropus bengalensis_Lesser Coucal,Centropus bengalensis,lescou1,Lesser Coucal,
Centropus celebensis_Bay Coucal,Centropus celebensis,baycou1,Bay Coucal,
Centropus chlororhynchos_Green-billed Coucal,Centropus chlororhynchos,grbcou2,Green-billed Coucal,
Centropus leucogaster_Black-throated Coucal,Centropus leucogaster,bltcou1,Black-throated Coucal,
Centropus melanops_Black-faced Coucal,Centropus melanops,blfcou1,Black-faced Coucal,
Centropus menbeki_Greater Black Coucal,Centropus menbeki,grbcou1,Ivory-billed Coucal,
Centropus milo_Buff-headed Coucal,Centropus milo,buhcou1,Buff-headed Coucal,
Centropus monachus_Blue-headed Coucal,Centropus monachus,blhcou2,Blue-headed Coucal,
Centropus phasianinus_Pheasant Coucal,Centropus phasianinus,phecou2,Pheasant Coucal,
Centropus rectunguis_Short-toed Coucal,Centropus rectunguis,shtcou1,Short-toed Coucal,
Centropus senegalensis_Senegal Coucal,Centropus senegalensis,sencou1,Senegal Coucal,
Centropus sinensis_Greater Coucal,Centropus sinensis,grecou1,Greater Coucal,
Centropus superciliosus_White-browed Coucal,Centropus superciliosus,whbcou2,White-browed Coucal,
Centropus toulou_Malagasy Coucal,Centropus toulou,madcou1,Malagasy Coucal,
Centropus viridis_Philippine Coucal,Centropus viridis,phicou1,Philippine Coucal,
Cephalopterus penduliger_Long-wattled Umbrellabird,Cephalopterus penduliger,lowumb1,Long-wattled Umbrellabird,
Cepphus columba_Pigeon Guillemot,Cepphus columba,piggui,Pigeon Guillemot,PIGU
Cepphus grylle_Black Guillemot,Cepphus grylle,blkgui,Black Guillemot,BLGU
Ceratogymna atrata_Black-casqued Hornbill,Ceratogymna atrata,blchor1,Black-casqued Hornbill,
Ceratopipra chloromeros_Round-tailed Manakin,Ceratopipra chloromeros,rotman1,Round-tailed Manakin,
Ceratopipra cornuta_Scarlet-horned Manakin,Ceratopipra cornuta,schman1,Scarlet-horned Manakin,
Ceratopipra erythrocephala_Golden-headed Manakin,Ceratopipra erythrocephala,gohman1,Golden-headed Manakin,GHMA
Ceratopipra mentalis_Red-capped Manakin,Ceratopipra mentalis,recman1,Red-capped Manakin,RCMA
Ceratopipra rubrocapilla_Red-headed Manakin,Ceratopipra rubrocapilla,rehman1,Red-headed Manakin,
Cercibis oxycerca_Sharp-tailed Ibis,Cercibis oxycerca,shtibi1,Sharp-tailed Ibis,
Cercococcyx mechowi_Dusky Long-tailed Cuckoo,Cercococcyx mechowi,dltcuc1,Dusky Long-tailed Cuckoo,
Cercococcyx montanus_Barred Long-tailed Cuckoo,Cercococcyx montanus,bltcuc1,Barred Long-tailed Cuckoo,
Cercococcyx olivinus_Olive Long-tailed Cuckoo,Cercococcyx olivinus,oltcuc1,Olive Long-tailed Cuckoo,
Cercomacra brasiliana_Rio de Janeiro Antbird,Cercomacra brasiliana,rdjant1,Rio de Janeiro Antbird,
Cercomacra carbonaria_Rio Branco Antbird,Cercomacra carbonaria,ribant1,Rio Branco Antbird,
Cercomacra cinerascens_Gray Antbird,Cercomacra cinerascens,gryant2,Grey Antbird,
Cercomacra ferdinandi_Bananal Antbird,Cercomacra ferdinandi,banant1,Bananal Antbird,
Cercomacra manu_Manu Antbird,Cercomacra manu,manant1,Manu Antbird,
Cercomacra melanaria_Mato Grosso Antbird,Cercomacra melanaria,magant1,Mato Grosso Antbird,
Cercomacra nigricans_Jet Antbird,Cercomacra nigricans,jetant1,Jet Antbird,JEAN
Cercomacroides fuscicauda_Riparian Antbird,Cercomacroides fuscicauda,blaant5,Riparian Antbird,
Cercomacroides laeta_Willis's Antbird,Cercomacroides laeta,wilant1,Willis's Antbird,
Cercomacroides nigrescens_Blackish Antbird,Cercomacroides nigrescens,blaant4,Blackish Antbird,
Cercomacroides parkeri_Parker's Antbird,Cercomacroides parkeri,parant2,Parker's Antbird,
Cercomacroides serva_Black Antbird,Cercomacroides serva,blaant2,Black Antbird,
Cercomacroides tyrannina_Dusky Antbird,Cercomacroides tyrannina,dusant1,Dusky Antbird,DUAN
Cercotrichas barbata_Miombo Scrub-Robin,Cercotrichas barbata,,,
Cercotrichas coryphoeus_Karoo Scrub-Robin,Cercotrichas coryphoeus,,,
Cercotrichas galactotes_Rufous-tailed Scrub-Robin,Cercotrichas galactotes,rutscr1,Rufous-tailed Scrub Robin,
Cercotrichas hartlaubi_Brown-backed Scrub-Robin,Cercotrichas hartlaubi,bbsrob1,Brown-backed Scrub Robin,
Cercotrichas leucophrys_Red-backed Scrub-Robin,Cercotrichas leucophrys,rbsrob1,White-browed Scrub Robin,
Cercotrichas paena_Kalahari Scrub-Robin,Cercotrichas paena,kasrob1,Kalahari Scrub Robin,
Cercotrichas podobe_Black Scrub-Robin,Cercotrichas podobe,blsrob1,Black Scrub Robin,
Cercotrichas quadrivirgata_Bearded Scrub-Robin,Cercotrichas quadrivirgata,,,
Cercotrichas signata_Brown Scrub-Robin,Cercotrichas signata,,,
Certhia americana_Brown Creeper,Certhia americana,brncre,Brown Creeper,BRCR
Certhia brachydactyla_Short-toed Treecreeper,Certhia brachydactyla,shttre1,Short-toed Treecreeper,
Certhia discolor_Sikkim Treecreeper,Certhia discolor,bnttre1,Sikkim Treecreeper,
Certhia familiaris_Eurasian Treecreeper,Certhia familiaris,eurtre1,Eurasian Treecreeper,
Certhia himalayana_Bar-tailed Treecreeper,Certhia himalayana,battre1,Bar-tailed Treecreeper,
Certhia hodgsoni_Hodgson's Treecreeper,Certhia hodgsoni,eurtre3,Hodgson's Treecreeper,
Certhia manipurensis_Hume's Treecreeper,Certhia manipurensis,bnttre2,Hume's Treecreeper,
Certhiasomus stictolaemus_Spot-throated Woodcreeper,Certhiasomus stictolaemus,sptwoo1,Spot-throated Woodcreeper,
Certhiaxis cinnamomeus_Yellow-chinned Spinetail,Certhiaxis cinnamomeus,yecspi2,Yellow-chinned Spinetail,
Certhiaxis mustelinus_Red-and-white Spinetail,Certhiaxis mustelinus,rawspi2,Red-and-white Spinetail,
Certhilauda chuana_Short-clawed Lark,Certhilauda chuana,shclar1,Short-clawed Lark,
Certhilauda semitorquata_Eastern Long-billed Lark,Certhilauda semitorquata,elblar1,Eastern Long-billed Lark,
Certhilauda subcoronata_Karoo Long-billed Lark,Certhilauda subcoronata,klblar6,Karoo Long-billed Lark,
Certhionyx variegatus_Pied Honeyeater,Certhionyx variegatus,piehon1,Pied Honeyeater,
Ceryle rudis_Pied Kingfisher,Ceryle rudis,piekin1,Pied Kingfisher,
Cettia brunnifrons_Gray-sided Bush Warbler,Cettia brunnifrons,gysbuw1,Grey-sided Bush Warbler,
Cettia castaneocoronata_Chestnut-headed Tesia,Cettia castaneocoronata,chhtes1,Chestnut-headed Tesia,
Cettia cetti_Cetti's Warbler,Cettia cetti,cetwar1,Cetti's Warbler,
Cettia major_Chestnut-crowned Bush Warbler,Cettia major,ccbwar1,Chestnut-crowned Bush Warbler,
Ceuthmochares aereus_Blue Malkoha,Ceuthmochares aereus,yellow5,Blue Malkoha,
Ceuthmochares australis_Green Malkoha,Ceuthmochares australis,yellow6,Green Malkoha,
Ceyx azureus_Azure Kingfisher,Ceyx azureus,azukin1,Azure Kingfisher,
Ceyx erithaca_Black-backed Dwarf-Kingfisher,Ceyx erithaca,bkbkin1,Black-backed Dwarf Kingfisher,
Chaetocercus mulsant_White-bellied Woodstar,Chaetocercus mulsant,whbwoo6,White-bellied Woodstar,
Chaetops frenatus_Cape Rockjumper,Chaetops frenatus,rufroc1,Cape Rockjumper,
Chaetura brachyura_Short-tailed Swift,Chaetura brachyura,shtswi1,Short-tailed Swift,STSW
Chaetura chapmani_Chapman's Swift,Chaetura chapmani,chaswi2,Chapman's Swift,CHAS
Chaetura cinereiventris_Gray-rumped Swift,Chaetura cinereiventris,grrswi1,Grey-rumped Swift,GRSW
Chaetura meridionalis_Sick's Swift,Chaetura meridionalis,sicswi1,Sick's Swift,SISW
Chaetura pelagica_Chimney Swift,Chaetura pelagica,chiswi,Chimney Swift,CHSW
Chaetura spinicaudus_Band-rumped Swift,Chaetura spinicaudus,barswi,Band-rumped Swift,BRSW
Chaetura vauxi_Vaux's Swift,Chaetura vauxi,vauswi,Vaux's Swift,VASW
Chalcomitra amethystina_Amethyst Sunbird,Chalcomitra amethystina,amesun2,Amethyst Sunbird,
Chalcomitra senegalensis_Scarlet-chested Sunbird,Chalcomitra senegalensis,sccsun2,Scarlet-chested Sunbird,
Chalcoparia singalensis_Ruby-cheeked Sunbird,Chalcoparia singalensis,rucsun2,Ruby-cheeked Sunbird,
Chalcophaps indica_Asian Emerald Dove,Chalcophaps indica,emedov2,Common Emerald Dove,
