composite,scientific_name,ebird_code,common_name,alpha
Batrachostomus moniliger_Sri Lanka Frogmouth,Batrachostomus moniliger,ceyfro1,Sri Lanka Frogmouth,
Batrachostomus septimus_Philippine Frogmouth,Batrachostomus septimus,phifro1,Philippine Frogmouth,
Batrachostomus stellatus_Gould's Frogmouth,Batrachostomus stellatus,goufro1,Gould's Frogmouth,
Berenicornis comatus_White-crowned Hornbill,Berenicornis comatus,whchor2,White-crowned Hornbill,
Berlepschia rikeri_Point-tailed Palmcreeper,Berlepschia rikeri,potpal1,Point-tailed Palmcreeper,
Bernieria madagascariensis_Long-billed Bernieria,Bernieria madagascariensis,lobber1,Long-billed Bernieria,
Bias musicus_Black-and-white Shrike-flycatcher,Bias musicus,bawfly1,Black-and-white Shrike-flycatcher,
Biatas nigropectus_White-bearded Antshrike,Biatas nigropectus,whbant2,White-bearded Antshrike,
Biziura lobata_Musk Duck,Biziura lobata,musduc1,Musk Duck,
Bleda canicapillus_Gray-headed Bristlebill,Bleda canicapillus,gyhbri1,Grey-headed Bristlebill,
Bleda notatus_Lesser Bristlebill,Bleda notatus,lesbri1,Yellow-lored Bristlebill,
Bleda syndactylus_Red-tailed Bristlebill,Bleda syndactylus,combri2,Red-tailed Bristlebill,
Blythipicus pyrrhotis_Bay Woodpecker,Blythipicus pyrrhotis,baywoo1,Bay Woodpecker,
Blythipicus rubiginosus_Maroon Woodpecker,Blythipicus rubiginosus,marwoo1,Maroon Woodpecker,
Boissonneaua flavescens_Buff-tailed Coronet,Boissonneaua flavescens,butcor1,Buff-tailed Coronet,
Boissonneaua jardini_Velvet-purple Coronet,Boissonneaua jardini,vepcor1,Velvet-purple Coronet,
Boissonneaua matthewsii_Chestnut-breasted Coronet,Boissonneaua matthewsii,chbcor1,Chestnut-breasted Coronet,
Bolbopsittacus lunulatus_Guaiabero,Bolbopsittacus lunulatus,guaiab1,Guaiabero,
Bolborhynchus lineola_Barred Parakeet,Bolborhynchus lineola,barpar1,Barred Parakeet,BAPA
Bolborhynchus orbygnesius_Andean Parakeet,Bolborhynchus orbygnesius,andpar1,Andean Parakeet,
Bolemoreus frenatus_Bridled Honeyeater,Bolemoreus frenatus,brihon1,Bridled Honeyeater,
Bombycilla cedrorum_Cedar Waxwing,Bombycilla cedrorum,cedwax,Cedar Waxwing,CEDW
Bombycilla garrulus_Bohemian Waxwing,Bombycilla garrulus,bohwax,Bohemian Waxwing,BOWA
Bombycilla japonica_Japanese Waxwing,Bombycilla japonica,japwax1,Japanese Waxwing,
Bonasa umbellus_Ruffed Grouse,Bonasa umbellus,rufgro,Ruffed Grouse,RUGR
