common_name,scientific_name,ebird_code,alpha
Common Gallinule,Gallinula galeata,comgal1,COGA
Common Goldeneye,Bucephala clangula,comgol,COGO
Common Grackle,Quiscalus quiscula,comgra,COGR
Common Loon,Gavia immer,comloo,COLO
Common Merganser,Mergus merganser,commer,COME
Common Murre,Uria aalge,commur,COMU
Common Nighthawk,Chordeiles minor,comnig,CONI
Common Poorwill,Phalaenoptilus nuttallii,compoo,COPO
Common Raven,,,
Common Tern,Sterna hirundo,comter,COTE
Common Yellowthroat,Geothlypis trichas,comyel,COYE
Connecticut Warbler,Oporornis agilis,conwar,CONW
Cooper's Hawk,Astur cooperii,coohaw,
Dark-eyed Junco,Junco hyemalis,daejun,DEJU
Dickcissel,Spiza americana,dickci,DICK
Double-crested Cormorant,Nannopterum auritum,doccor,DCCO
Downy Woodpecker,Dryobates pubescens,dowwoo,DOWO
Dunlin,Calidris alpina,dunlin,DUNL
Dusky Flycatcher,,,
Eared Grebe,,,
Eastern Bluebird,Sialia sialis,easblu,EABL
Eastern Kingbird,Tyrannus tyrannus,easkin,EAKI
Eastern Meadowlark,Sturnella magna,easmea,EAME
Eastern Phoebe,Sayornis phoebe,easpho,EAPH
Eastern Screech-Owl,Megascops asio,easowl1,EASO
Eastern Towhee,Pipilo erythrophthalmus,eastow,EATO
Eastern Whip-poor-will,Antrostomus vociferus,easwpw1,EWPW
Eastern Wood-Pewee,Contopus virens,eawpew,EAWP
Eurasian Collared-Dove,Streptopelia decaocto,eucdov,EUCD
European Starling,,,
Evening Grosbeak,Hesperiphona vespertina,,
Field Sparrow,Spizella pusilla,fiespa,FISP
Fish Crow,Corvus ossifragus,fiscro,FICR
Forster's Tern,Sterna forsteri,forter,FOTE
Fox Sparrow,Passerella iliaca,foxspa,FOSP
Franklin's Gull,Leucophaeus pipixcan,fragul,FRGU
Gadwall,Mareca strepera,gadwal,GADW
Glaucous-winged Gull,Larus glaucescens,glwgul,GWGU
Golden Eagle,Aquila chrysaetos,goleag,GOEA
Golden-crowned Kinglet,Regulus satrapa,gockin,GCKI
Golden-crowned Sparrow,Zonotrichia atricapilla,gocspa,GCSP
Golden-winged Warbler,Vermivora chrysoptera,gowwar,GWWA
Grasshopper Sparrow,Ammodramus savannarum,graspa,GRSP
Gray Catbird,,,
Gray Flycatcher,,,
Gray Partridge,,,
Gray-cheeked Thrush,,,
Great Black-backed Gull,Larus marinus,gbbgul,GBBG
Great Blue Heron,Ardea herodias,grbher3,GBHE
Great Crested Flycatcher,Myiarchus crinitus,grcfly,GCFL
Great Egret,Ardea alba,greegr,GREG
Great Gray Owl,,,
Great Horned Owl,Bubo virginianus,grhowl,GHOW
Greater White-fronted Goose,Anser albifrons,gwfgoo,GWFG
Greater Yellowlegs,Tringa melanoleuca,greyel,GRYE
Green Heron,Butorides virescens,grnher,GRHE
Green-winged Teal,Anas crecca,gnwtea,GWTE
Hairy Woodpecker,Leuconotopicus villosus,,
Hammond's Flycatcher,Empidonax hammondii,hamfly,HAFL
Harris's Sparrow,Zonotrichia querula,harspa,HASP
Henslow's Sparrow,Centronyx henslowii,henspa,HESP
Hermit Thrush,Catharus guttatus,herthr,HETH
Herring Gull,,,
Hooded Merganser,Lophodytes cucullatus,hoomer,HOME
Hooded Warbler,Setophaga citrina,hoowar,HOWA
Horned Grebe,Podiceps auritus,horgre,HOGR
Horned Lark,Eremophila alpestris,horlar,HOLA
House Finch,Haemorhous mexicanus,houfin,HOFI
House Sparrow,Passer domesticus,houspa,HOSP
House Wren,,,
Indigo Bunting,Passerina cyanea,indbun,INBU
Kentucky Warbler,Geothlypis formosa,kenwar,KEWA
Killdeer,Charadrius vociferus,killde,KILL
King Rail,Rallus elegans,kinrai4,KIRA
Kirtland's Warbler,Setophaga kirtlandii,kirwar,KIWA
Lapland Longspur,Calcarius lapponicus,laplon,LALO
Lark Sparrow,Chondestes grammacus,larspa,LASP
Lazuli Bunting,Passerina amoena,lazbun,LAZB
Least Bittern,Botaurus exilis,leabit,LEBI
Least Flycatcher,Empidonax minimus,leafly,LEFL
Least Sandpiper,Calidris minutilla,leasan,LESA
LeConte's Sparrow,Ammospiza leconteii,lecspa,LCSP
Lesser Black-backed Gull,Larus fuscus,lbbgul,LBBG
Lesser Yellowlegs,Tringa flavipes,lesyel,LEYE
Lincoln's Sparrow,Melospiza lincolnii,linspa,LISP
Loggerhead Shrike,Lanius ludovicianus,logshr,LOSH
Long-billed Curlew,Numenius americanus,lobcur,LBCU
Long-billed Dowitcher,Limnodromus scolopaceus,lobdow,LBDO
Long-eared Owl,Asio otus,loeowl,LEOW
Long-tailed Duck,Clangula hyemalis,lotduc,LTDU
Louisiana Waterthrush,Parkesia motacilla,louwat,LOWA
MacGillivray's Warbler,Geothlypis tolmiei,macwar,MGWA
Magnolia Warbler,Setophaga magnolia,magwar,MAWA
Mallard,Anas platyrhynchos,mallar3,MALL
Marbled Godwit,Limosa fedoa,margod,MAGO
Marbled Murrelet,Brachyramphus marmoratus,marmur,MAMU
Marsh Wren,Cistothorus palustris,marwre,MAWR
Merlin,Falco columbarius,merlin,MERL
Mountain Bluebird,Sialia currucoides,moublu,MOBL
Mountain Chickadee,Poecile gambeli,mouchi,MOCH
Mourning Dove,Zenaida macroura,moudov,MODO
Mourning Warbler,Geothlypis philadelphia,mouwar,MOWA
Mute Swan,Cygnus olor,mutswa,MUSW
Nashville Warbler,Leiothlypis ruficapilla,naswar,NAWA
Nelson's Sparrow,Ammospiza nelsoni,nstspa,NESP
Northern Cardinal,Cardinalis cardinalis,norcar,NOCA
Northern Flicker,Colaptes auratus,norfli,NOFL
American Goshawk,Astur atricapillus,norgos,
Northern Harrier,Circus hudsonius,norhar2,NOHA
Northern Hawk Owl,Surnia ulula,nohowl,NHOW
Northern Parula,Setophaga americana,norpar,NOPA
Northern Pintail,Anas acuta,norpin,NOPI
Northern Pygmy-Owl,Glaucidium gnoma,nopowl,NOPO
Northern Rough-winged Swallow,Stelgidopteryx serripennis,nrwswa,NRWS
Northern Saw-whet Owl,Aegolius acadicus,nswowl,NSWO
Northern Shoveler,Spatula clypeata,norsho,NSHO
Northern Shrike,Lanius borealis,norshr4,NSHR
Northern Waterthrush,Parkesia noveboracensis,norwat,NOWA
Olive-sided Flycatcher,Contopus cooperi,olsfly,OSFL
Orange-crowned Warbler,Leiothlypis celata,orcwar,OCWA
Orchard Oriole,Icterus spurius,orcori,OROR
Osprey,Pandion haliaetus,osprey,OSPR
Ovenbird,Seiurus aurocapilla,ovenbi1,OVEN
Pacific Wren,Troglodytes pacificus,pacwre1,PAWR
Palm Warbler,Setophaga palmarum,palwar,PAWA
Pectoral Sandpiper,Calidris melanotos,pecsan,PESA
Peregrine Falcon,Falco peregrinus,perfal,PEFA
Philadelphia Vireo,Vireo philadelphicus,phivir,PHVI
Pied-billed Grebe,Podilymbus podiceps,pibgre,PBGR
Pileated Woodpecker,Dryocopus pileatus,pilwoo,PIWO
Pine Grosbeak,Pinicola enucleator,pingro,PIGR
Pine Siskin,Spinus pinus,pinsis,PISI
Pine Warbler,Setophaga pinus,pinwar,PIWA
Prairie Warbler,Setophaga discolor,prawar,PRAW
Prothonotary Warbler,Protonotaria citrea,prowar,PROW
Purple Finch,Haemorhous purpureus,purfin,PUFI
Purple Martin,Progne subis,purmar,PUMA
Red Crossbill,Loxia curvirostra,redcro,RECR
Redhead,Aythya americana,redhea,REDH
Redpoll,Acanthis flammea,redpol1,REDP
Red-bellied Woodpecker,Melanerpes carolinus,rebwoo,RBWO
Red-breasted Nuthatch,Sitta canadensis,rebnut,RBNU
Red-breasted Sapsucker,Sphyrapicus ruber,rebsap,RBSA
Red-eyed Vireo,Vireo olivaceus,reevir1,REVI
Red-headed Woodpecker,Melanerpes erythrocephalus,rehwoo,RHWO
Red-naped Sapsucker,Sphyrapicus nuchalis,rensap,RNSA
Red-necked Grebe,Podiceps grisegena,rengre,RNGR
Red-necked Phalarope,Phalaropus lobatus,renpha,RNPH
Red-shouldered Hawk,Buteo lineatus,reshaw,RSHA
Red-tailed Hawk,Buteo jamaicensis,rethaw,RTHA
Red-throated Loon,Gavia stellata,retloo,RTLO
Red-winged Blackbird,Agelaius phoeniceus,rewbla,RWBL
Ring-billed Gull,Larus delawarensis,ribgul,RBGU
Ring-necked Duck,Aythya collaris,rinduc,RNDU
